date_k;price_ram;Date;Price_gold;process nodes(nm)
01.01.1983;2292;1983-03;420.707;1500
01.01.1983;2240;1983-04;433.171;1500
01.01.1983;2188;1983-05;437.393;1500
01.01.1983;2136;1983-06;413.148;1500
01.01.1983;2084;1983-07;422.645;1500
01.01.1983;2032;1983-08;416.205;1500
01.09.1983;1980;1983-09;412.245;1500
01.09.1983;1829,75;1983-10;394.245;1500
01.09.1983;1679,5;1983-11;381.016;1500
01.09.1983;1529,25;1983-12;388.060;1500
01.01.1984;1379;1984-01;370.735;1000
01.01.1984;1371;1984-02;386.038;1000
01.01.1984;1363;1984-03;394.743;1000
01.01.1984;1355;1984-04;381.371;1000
01.01.1984;1347;1984-05;376.957;1000
01.01.1984;1339;1984-06;378.314;1000
30.07.1984;1331;1984-07;347.598;1000
30.07.1984;1255,833333;1984-08;347.677;1000
30.07.1984;1180,666667;1984-09;340.945;1000
30.07.1984;1105,5;1984-10;340.217;1000
30.07.1984;1030,333333;1984-11;341.286;1000
30.07.1984;955,166667;1984-12;319.622;1000
01.01.1985;880;1985-01;302.852;1000
01.01.1985;840;1985-02;299.833;1000
01.01.1985;800;1985-03;303.205;1000
01.01.1985;760;1985-04;324.883;1000
01.05.1985;720;1985-05;316.395;1000
02.06.1985;550;1985-06;316.298;1000
30.07.1985;350;1985-07;317.202;1000
30.07.1985;325;1985-08;330.131;1000
01.09.1985;300;1985-09;323.764;1000
29.10.1985;286,25;1985-10;326.093;1000
29.10.1985;272,5;1985-11;325.548;1000
01.12.1985;258,75;1985-12;321.985;1000
29.01.1986;245;1986-01;345.561;1000
29.01.1986;231,25;1986-02;339.053;1000
03.03.1986;217,5;1986-03;346.095;1000
01.04.1986;203,75;1986-04;340.716;1000
01.05.1986;190;1986-05;342.325;1000
02.06.1986;188,25;1986-06;342.798;1000
30.07.1986;186,5;1986-07;348.554;1000
30.07.1986;184,75;1986-08;376.290;1000
01.09.1986;183;1986-09;418.152;1000
01.10.1986;181,25;1986-10;423.863;1000
01.10.1986;179,5;1986-11;396.983;1000
01.12.1986;177,75;1986-12;391.595;1000
29.01.1987;176;1987-01;408.524;800
29.01.1987;166,5;1987-02;401.045;800
03.03.1987;157;1987-03;408.848;800
01.04.1987;154;1987-04;439.665;800
01.05.1987;155,8;1987-05;461.650;800
02.06.1987;157,6;1987-06;449.282;800
30.07.1987;159,4;1987-07;450.330;800
30.07.1987;161,2;1987-08;460.988;800
01.09.1987;163;1987-09;460.120;800
29.10.1987;167,75;1987-10;465.764;800
29.10.1987;172,5;1987-11;468.140;800
01.12.1987;177,25;1987-12;487.079;800
29.01.1988;182;1988-01;477.758;800
29.01.1988;190,5;1988-02;442.124;800
03.03.1988;199;1988-03;443.491;800
03.03.1988;275,5;1988-04;451.558;800
01.05.1988;352;1988-05;451.320;800
02.06.1988;428,5;1988-06;451.657;800
30.07.1988;505;1988-07;437.452;800
30.07.1988;490,363636;1988-08;431.064;800
01.09.1988;475,727273;1988-09;413.439;800
29.10.1988;461,090909;1988-10;406.390;800
29.10.1988;446,454545;1988-11;419.966;800
01.12.1988;431,818182;1988-12;419.248;800
29.01.1989;417,181818;1989-01;404.445;800
29.01.1989;402,545455;1989-02;387.973;800
03.03.1989;387,909091;1989-03;390.274;800
01.04.1989;373,272727;1989-04;384.720;800
01.04.1989;358,636364;1989-05;371.350;800
02.06.1989;344;1989-06;367.727;800
30.07.1989;188;1989-07;375.210;800
30.07.1989;164,333333;1989-08;365.548;800
01.09.1989;140,666667;1989-09;361.798;800
29.10.1989;117;1989-10;366.800;800
29.10.1989;115;1989-11;394.361;800
01.12.1989;113;1989-12;409.655;800
01.01.1990;106;1990-01;410.118;800
01.01.1990;102,15;1990-02;416.543;800
03.03.1990;98,3;1990-03;393.661;600
03.03.1990;95,366667;1990-04;374.929;600
01.05.1990;92,433333;1990-05;368.855;600
02.06.1990;89,5;1990-06;352.657;600
30.07.1990;81,1;1990-07;361.820;600
30.07.1990;76,3;1990-08;394.861;600
01.09.1990;71,5;1990-09;389.560;600
29.10.1990;51;1990-10;381.333;600
29.10.1990;48,25;1990-11;381.866;600
01.12.1990;45,5;1990-12;378.161;600
29.01.1991;44,5;1991-01;384.591;600
29.01.1991;44,75;1991-02;363.748;600
03.03.1991;45;1991-03;363.390;600
01.04.1991;44,6;1991-04;358.055;600
01.05.1991;44,2;1991-05;357.117;600
02.06.1991;43,8;1991-06;366.360;600
30.07.1991;41,3;1991-07;368.013;600
30.07.1991;43,8;1991-08;356.721;600
01.09.1991;46,3;1991-09;348.460;600
29.10.1991;39,8;1991-10;358.826;600
29.10.1991;38,633333;1991-11;359.960;600
01.12.1991;37,466667;1991-12;361.875;600
29.01.1992;36,3;1992-01;354.436;600
29.01.1992;35,8;1992-02;353.853;600
03.03.1992;35,3;1992-03;344.641;600
01.04.1992;34,8;1992-04;338.728;600
01.05.1992;30;1992-05;337.039;600
02.06.1992;32,5;1992-06;340.784;600
30.07.1992;31;1992-07;352.452;600
30.07.1992;29,25;1992-08;343.603;600
01.09.1992;27,5;1992-09;345.300;600
29.10.1992;26,3;1992-10;344.277;600
29.10.1992;26,7;1992-11;334.924;600
01.12.1992;27,1;1992-12;334.657;600
29.01.1993;27,5;1993-01;328.993;350
29.01.1993;28;1993-02;329.310;350
03.03.1993;28,5;1993-03;329.974;350
01.04.1993;29;1993-04;341.948;350
01.05.1993;29,5;1993-05;367.045;350
02.06.1993;30;1993-06;371.914;350
30.07.1993;32,45;1993-07;392.034;350
30.07.1993;34,9;1993-08;379.795;350
01.09.1993;37,35;1993-09;355.561;350
29.10.1993;39,8;1993-10;364.005;350
29.10.1993;37,8;1993-11;373.939;350
01.12.1993;35,8;1993-12;383.243;350
29.01.1994;35,866667;1994-01;387.110;350
29.01.1994;35,933333;1994-02;381.658;350
03.03.1994;36;1994-03;384.000;350
01.04.1994;37,3;1994-04;377.908;350
01.05.1994;37,2;1994-05;381.343;350
02.06.1994;37,1;1994-06;385.714;350
30.07.1994;37;1994-07;385.450;350
30.07.1994;35,5;1994-08;380.207;350
01.09.1994;34;1994-09;391.348;350
29.10.1994;32,3;1994-10;390.164;350
29.10.1994;32,2;1994-11;384.377;350
01.12.1994;32,1;1994-12;379.480;350
29.01.1995;32;1995-01;378.738;350
29.01.1995;31,733333;1995-02;376.745;350
03.03.1995;31,466667;1995-03;381.820;350
01.04.1995;31,2;1995-04;391.339;350
01.05.1995;31,15;1995-05;385.231;350
02.06.1995;31,1;1995-06;387.618;350
30.07.1995;30,6;1995-07;386.138;350
30.07.1995;31,85;1995-08;383.502;350
01.09.1995;33,1;1995-09;382.931;350
29.10.1995;30,9;1995-10;383.202;350
29.10.1995;30,2;1995-11;385.209;350
01.12.1995;29,5;1995-12;387.445;350
29.01.1996;28,8;1996-01;398.695;250
29.01.1996;27,45;1996-02;404.919;250
03.03.1996;26,1;1996-03;396.512;250
01.04.1996;24,7;1996-04;392.870;250
01.05.1996;17,2;1996-05;391.990;250
02.06.1996;14,9;1996-06;385.245;250
30.07.1996;9,06;1996-07;383.457;250
30.07.1996;8,75;1996-08;387.510;250
01.09.1996;8,44;1996-09;383.290;250
29.10.1996;5,25;1996-10;380.909;250
29.10.1996;4,71;1996-11;377.869;250
01.12.1996;4,17;1996-12;369.338;250
29.01.1997;3,63;1997-01;355.025;250
29.01.1997;3,315;1997-02;346.400;250
03.03.1997;3;1997-03;352.311;250
01.04.1997;3,23;1997-04;344.707;250
01.05.1997;3,46;1997-05;344.100;250
02.06.1997;3,69;1997-06;340.805;250
30.07.1997;4,13;1997-07;323.780;250
30.07.1997;3,88;1997-08;323.998;250
01.09.1997;3,63;1997-09;322.616;250
29.10.1997;3,25;1997-10;324.863;250
29.10.1997;2,705;1997-11;306.345;250
01.12.1997;2,16;1997-12;288.776;250
29.01.1998;0,91;1998-01;289.264;250
29.01.1998;0,94;1998-02;297.743;250
03.03.1998;0,97;1998-03;295.870;250
01.04.1998;1,22;1998-04;308.558;250
01.05.1998;1,19;1998-05;298.971;250
02.06.1998;0,97;1998-06;292.223;250
30.07.1998;1,03;1998-07;292.874;250
30.07.1998;1;1998-08;284.228;250
01.09.1998;0,97;1998-09;288.661;250
29.10.1998;0,84;1998-10;296.595;250
29.10.1998;1,04;1998-11;294.243;250
01.12.1998;1,24;1998-12;291.357;250
29.01.1999;1,44;1999-01;287.333;250
16.02.1999;0,84;1999-02;287.495;180
03.03.1999;1,25;1999-03;286.243;180
01.04.1999;;1999-04;282.620;180
01.05.1999;0,86;1999-05;276.932;180
01.05.1999;;1999-06;261.402;180
01.07.1999;0,78;1999-07;256.198;180
01.07.1999;;1999-08;256.936;180
01.09.1999;0,87;1999-09;264.470;180
29.10.1999;1,34;1999-10;311.562;180
29.10.1999;;1999-11;293.650;180
01.12.1999;2,35;1999-12;283.743;180
29.01.2000;1,48;2000-01;284.590;180
29.01.2000;;2000-02;300.855;180
03.03.2000;1,08;2000-03;286.704;180
01.04.2000;0,84;2000-04;279.961;180
01.05.2000;0,7;2000-05;275.293;180
02.06.2000;0,9;2000-06;285.368;180
30.07.2000;0,84;2000-07;282.152;180
30.07.2000;;2000-08;274.523;180
01.09.2000;1,07;2000-09;273.676;180
29.10.2000;1,12;2000-10;270.405;180
29.10.2000;;2000-11;265.989;180
01.12.2000;0,9;2000-12;271.892;180
29.01.2001;0,464;2001-01;265.934;130
29.01.2001;;2001-02;262.018;130
03.03.2001;;2001-03;263.273;130
01.04.2001;0,383;2001-04;260.750;130
01.05.2001;0,387;2001-05;272.057;130
02.06.2001;0,305;2001-06;270.738;130
30.07.2001;0,191;2001-07;267.707;130
30.07.2001;;2001-08;272.657;130
01.09.2001;;2001-09;282.478;130
08.10.2001;0,148;2001-10;283.322;130
08.10.2001;;2001-11;276.248;130
08.10.2001;;2001-12;275.992;130
29.01.2002;0,134;2002-01;281.764;130
12.02.2002;0,207;2002-02;295.683;130
12.02.2002;;2002-03;294.353;130
01.04.2002;0,193;2002-04;302.862;130
01.05.2002;;2002-05;314.480;130
02.06.2002;0,33;2002-06;321.536;130
30.07.2002;0,193;2002-07;313.567;130
30.07.2002;;2002-08;310.045;130
30.07.2002;;2002-09;318.800;130
01.10.2002;;2002-10;316.748;130
01.10.2002;;2002-11;319.255;130
01.10.2002;;2002-12;333.300;130
01.10.2002;;2003-01;356.864;130
01.10.2002;;2003-02;359.575;130
03.03.2003;0,176;2003-03;341.564;90
01.04.2003;0,076;2003-04;328.208;90
01.05.2003;0,126;2003-05;355.405;90
02.06.2003;0,115;2003-06;356.912;90
30.07.2003;0,129;2003-07;350.765;90
30.07.2003;;2003-08;358.993;90
01.09.2003;0,143;2003-09;378.859;90
29.10.2003;0,16;2003-10;379.093;90
29.10.2003;;2003-11;390.200;90
27.12.2003;0,166;2003-12;407.674;90
29.01.2004;0,148;2004-01;414.495;90
29.01.2004;;2004-02;404.730;90
03.03.2004;0,146;2004-03;405.976;90
03.03.2004;;2004-04;404.850;90
01.05.2004;0,156;2004-05;383.953;90
02.06.2004;0,203;2004-06;391.780;90
01.07.2004;0,176;2004-07;398.441;90
01.07.2004;;2004-08;400.133;90
01.07.2004;;2004-09;405.402;90
01.07.2004;;2004-10;420.210;90
01.07.2004;;2004-11;439.059;90
01.07.2004;;2004-12;442.974;90
01.07.2004;;2005-01;424.080;90
01.07.2004;;2005-02;423.430;90
01.07.2004;;2005-03;434.355;90
01.04.2005;0,185;2005-04;429.140;65
01.04.2005;;2005-05;422.903;65
02.06.2005;0,149;2005-06;430.302;65
02.06.2005;;2005-07;424.745;65
02.06.2005;;2005-08;437.773;65
02.06.2005;;2005-09;455.936;65
29.10.2005;0,116;2005-10;470.107;65
29.10.2005;;2005-11;476.668;65
01.12.2005;0,185;2005-12;509.423;65
01.12.2005;;2006-01;549.433;65
01.12.2005;;2006-02;555.518;65
03.03.2006;0,112;2006-03;557.215;65
03.03.2006;;2006-04;611.853;65
01.05.2006;0,073;2006-05;676.769;65
01.05.2006;;2006-06;597.898;65
01.07.2006;0,082;2006-07;633.093;65
01.07.2006;;2006-08;631.557;65
01.09.2006;0,073;2006-09;600.150;65
29.10.2006;0,098;2006-10;586.648;65
29.10.2006;;2006-11;626.825;65
27.12.2006;0,092;2006-12;629.513;65
29.01.2007;0,078;2007-01;630.352;45
29.01.2007;;2007-02;665.103;45
03.03.2007;0,066;2007-03;655.891;45
03.03.2007;;2007-04;680.008;45
01.05.2007;0,0464;2007-05;668.310;45
01.05.2007;;2007-06;655.714;45
01.07.2007;0,0386;2007-07;665.266;45
01.07.2007;;2007-08;664.530;45
01.09.2007;0,0351;2007-09;710.645;45
29.10.2007;0,0244;2007-10;754.480;45
29.10.2007;;2007-11;808.311;45
01.12.2007;;2007-12;803.618;45
29.01.2008;0,022;2008-01;887.784;45
29.01.2008;;2008-02;924.283;45
29.01.2008;;2008-03;971.055;45
29.01.2008;;2008-04;911.600;45
01.05.2008;;2008-05;889.125;45
01.05.2008;;2008-06;889.536;45
30.07.2008;0,0176;2008-07;941.167;45
30.07.2008;;2008-08;840.388;45
01.09.2008;0,0146;2008-09;824.920;45
29.10.2008;0,011;2008-10;812.815;45
29.10.2008;;2008-11;757.850;45
01.12.2008;0,0098;2008-12;819.940;45
29.01.2009;0,0107;2009-01;857.726;32
29.01.2009;;2009-02;939.763;32
29.01.2009;;2009-03;925.989;32
01.04.2009;0,0105;2009-04;892.663;32
01.04.2009;;2009-05;926.855;32
02.06.2009;0,0115;2009-06;947.807;32
30.07.2009;0,0127;2009-07;934.272;32
30.07.2009;;2009-08;949.500;32
30.07.2009;;2009-09;996.443;32
01.10.2009;0,0183;2009-10;1043.511;32
01.10.2009;;2009-11;1126.119;32
01.12.2009;0,0205;2009-12;1135.012;32
29.01.2010;0,0202;2010-01;1119.575;32
29.01.2010;;2010-02;1095.800;32
03.03.2010;0,0195;2010-03;1115.554;32
03.03.2010;;2010-04;1148.475;32
01.05.2010;0,0242;2010-05;1204.321;32
01.05.2010;;2010-06;1232.382;32
30.07.2010;0,022;2010-07;1196.000;32
30.07.2010;;2010-08;1213.464;32
30.07.2010;;2010-09;1271.461;32
29.10.2010;0,0146;2010-10;1343.190;32
29.10.2010;;2010-11;1371.784;32
01.12.2010;0,0122;2010-12;1393.512;32
