Date;price_ram;Price_gold;processnodes(nm);AMDOpen;AMDHigh;AMDLow;AMDClose;AMDAdjClose;AMDVolume;IntelOpen;IntelHigh;IntelLow;IntelClose;IntelAdjClose;IntelVolume;MicrosoftOpen;MicrosoftHigh;MicrosoftLow;MicrosoftClose;MicrosoftAdjClose;MicrosoftVolume;Micronopen;Micronhigh;Micronlow;Micronclose;Micronvolume;hynixOpen;hynixClose;hynixHigh;hynixLow;Volume;SamsungOpen;SamsungHigh;SamsungLow;SamsungClose;SamsungVolume;tupe_ram;max_stick;maks_desktop_gb
1967-10;1592787.05;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-11;1560980.233;35.200;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967-12;1529173.417;35.190;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-01;1497366.6;35.180;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-02;1465559.783;35.200;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-03;1433752.967;35.200;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-04;1401946.15;37.878;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-05;1370139.333;40.691;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-06;1338332.517;41.111;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-07;1306525.7;39.530;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-08;1274718.883;39.170;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-09;1242912.067;40.203;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-10;1211105.25;39.210;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-11;1179298.433;39.795;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1968-12;1147491.617;41.113;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-01;1115684.8;42.291;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-02;1083877.983;42.616;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-03;1052071.167;43.171;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-04;1020264.35;43.295;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-05;988457.5333;43.461;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-06;956650.7167;41.442;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-07;924843.9;41.755;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-08;893037.0833;41.128;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-09;861230.2667;40.865;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-10;829423.45;40.476;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-11;797616.6333;37.452;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1969-12;765809.8167;35.189;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-01;734003;34.946;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-02;724707.3611;34.994;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-03;715411.7222;35.089;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-04;706116.0833;35.623;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-05;696820.4444;35.958;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-06;687524.8056;35.437;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-07;678229.1667;35.329;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-08;668933.5278;35.377;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-09;659637.8889;36.196;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-10;650342.25;37.553;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-11;641046.6111;37.455;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1970-12;631750.9722;37.434;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-01;622455.3333;37.868;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-02;613159.6944;38.716;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-03;603864.0556;38.873;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-04;594568.4167;39.001;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-05;585272.7778;40.493;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-06;575977.1389;40.105;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-07;566681.5;40.929;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-08;557385.8611;42.722;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-09;548090.2222;41.976;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-10;538794.5833;42.473;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-11;529498.9444;42.842;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1971-12;520203.3056;43.455;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-01;510907.6667;45.640;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-02;501612.0278;48.237;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-03;492316.3889;48.288;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-04;483020.75;49.026;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-05;473725.1111;54.500;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-06;464429.4722;62.170;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-07;455133.8333;65.558;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-08;445838.1944;66.917;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-09;436542.5556;65.589;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-10;427246.9167;64.824;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-11;417951.2778;62.726;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1972-12;408655.6389;63.779;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-01;399360;65.127;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-02;392294.4167;73.971;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-03;385228.8333;84.105;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-04;378163.25;90.441;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-05;371097.6667;101.623;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-06;364032.0833;119.800;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-07;356966.5;120.364;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-08;349900.9167;106.225;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-09;342835.3333;103.034;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-10;335769.75;99.923;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-11;328704.1667;94.645;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1973-12;321638.5833;106.236;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-01;314573;129.027;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-02;303377.25;150.000;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-03;292181.5;168.298;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-04;280985.75;172.243;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-05;269790;163.568;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-06;258594.25;154.013;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-07;247398.5;142.283;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-08;236202.75;154.362;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-09;225007;151.660;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-10;213811.25;158.533;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-11;202615.5;181.483;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1974-12;191419.75;183.683;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-01;180224;176.864;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-02;142677.3333;179.553;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-03;105130.6667;178.203;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-04;67584;170.066;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-05;64640;167.293;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-06;61696;164.250;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-07;58752;164.867;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-08;55808;163.168;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-09;52864;144.311;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-10;49920;142.691;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-11;46848;142.565;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1975-12;43776;139.279;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-01;40704;131.695;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02;44832;130.940;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03;48960;132.676;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-04;40320;127.910;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-05;31680;126.913;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-06;23040;125.684;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-07;32000;117.866;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-08;32800;110.055;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-09;33600;114.098;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-10;34400;116.095;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-11;35200;130.341;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-12;36000;133.674;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-01;36800;132.306;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-02;36171.42857;136.163;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-03;35542.85714;148.339;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-04;34914.28571;149.184;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-05;34285.71429;146.536;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-06;33657.14286;140.828;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-07;33028.57143;143.383;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-08;32400;145.009;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-09;31771.42857;149.334;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-10;31142.85714;158.848;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-11;30514.28571;162.132;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1977-12;29885.71429;160.480;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-01;29257.14286;173.207;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-02;28628.57143;178.360;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-03;28000;183.771;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-04;29440;175.323;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-05;19200;176.190;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1978-06;17600;183.761;3000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
